"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img","Input.adj1","Input.adj2","Input.adj1not","Input.adj2not","Input.feature1","Input.feature2","Input.num_objs1","Input.num_objs2","Input.position","Input.obj1shape","Input.obj1color","Input.obj1pattern","Input.obj2shape","Input.obj2color","Input.obj2pattern","Input.obj3shape","Input.obj3color","Input.obj3pattern","Answer.adj1notval","Answer.adj1val","Answer.adj2notval","Answer.adj2val","Answer.answer1","Answer.answer2","Approve","Reject"
"2EPH57DZKPFEN7MDDID2BL8I3YYD30","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:43 GMT 2011","1","","600","604800","Sun Oct 23 23:49:43 GMT 2011","227","","247BNFSVGULFM2BSSBEG7FS5Q8B7LB","A2PR4HKDIR4WWY","Approved","Fri Oct 14 16:12:09 GMT 2011","Fri Oct 14 16:13:23 GMT 2011","Fri Oct 21 09:13:23 PDT 2011","Mon Oct 17 10:15:14 PDT 2011","","","74","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0001.jpg","circle","dotted","square","striped","shape","pattern","2","1","1","circle","red","dotted","square","red","striped","circle","red","striped","","","","","16","16"
"2ZO2NJQ2172ZS2WH2GBLIVEBOC1XPX","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:43 GMT 2011","1","","600","604800","Sun Oct 23 23:49:43 GMT 2011","681","","2626X3YOCCF0VIBKTUKITIIZ0UJQRG","A2RA4A0LLQLGUW","Approved","Sat Oct 08 16:06:41 GMT 2011","Sat Oct 08 16:07:35 GMT 2011","Sat Oct 15 16:07:35 GMT 2011","2011/10/15 16:12:34 +0000","","","54","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0002.jpg","blue","circle","green","square","color","shape","2","1","1","circle","blue","solid","square","blue","solid","square","green","solid","25","25","25","25","2","1"
"2H1PPSI2KYEP4LV71PCMCWJ3ILFRLX","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:43 GMT 2011","1","","600","604800","Sun Oct 23 23:49:43 GMT 2011","883","","276RSQV66RLP0BZ3D0NA1KI84Q2C4W","AU00ZCGA4B1O8","Approved","Thu Oct 06 16:55:21 GMT 2011","Thu Oct 06 16:57:18 GMT 2011","Thu Oct 13 16:57:18 GMT 2011","2011/10/13 17:01:08 +0000","","","117","100% (2/2)","100% (2/2)","0% (0/0)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0003.jpg","square","dotted","circle","striped","shape","pattern","2","1","1","square","red","dotted","square","red","striped","circle","red","striped","25","25","25","25","2","1"
"2K24F0OHOVR1NB3KK7C98HECQL534D","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:51 GMT 2011","1","","600","604800","Sun Oct 23 23:49:51 GMT 2011","1010","","2DGH1XERSQV6PKRPDNK3NVWCWIK80E","A3RILJPBGAOWN4","Approved","Wed Oct 05 18:03:55 GMT 2011","Wed Oct 05 18:04:41 GMT 2011","Wed Oct 12 18:04:41 GMT 2011","2011/10/12 18:06:52 +0000","","","46","100% (4/4)","100% (1/1)","0% (0/0)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond1-img0001.jpg","square","green","circle","blue","shape","color","3","3","1","square","green","solid","square","green","solid","square","green","solid","","50","","50","3","3"
"26DH8MZ9O9Z63PAZIFQHNRRL91Y90J","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:43 GMT 2011","1","","600","604800","Sun Oct 23 23:49:43 GMT 2011","81","","28L3DHJHP4BDWDM4UDIS39X5JPY3WO","A1A5JZX36YMSPB","Approved","Sun Oct 16 17:14:50 GMT 2011","Sun Oct 16 17:16:30 GMT 2011","Sun Oct 23 10:16:30 PDT 2011","Mon Oct 17 10:15:28 PDT 2011","","","100","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0004.jpg","green","dotted","blue","striped","color","pattern","2","1","2","cloud","green","striped","cloud","green","dotted","cloud","blue","striped","20","20","20","40","2","1"
"21NUFJ51Y7QE7SLYMXSCYTMO98QDAW","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:51 GMT 2011","1","","600","604800","Sun Oct 23 23:49:51 GMT 2011","192","","2Y91XERSQV66AEVHEYUH1WAXMGX91X","A2XCERYPJGGS0W","Approved","Wed Oct 12 20:42:55 GMT 2011","Wed Oct 12 20:44:00 GMT 2011","Wed Oct 19 13:44:00 PDT 2011","Mon Oct 17 10:15:27 PDT 2011","","","65","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond1-img0002.jpg","dotted","circle","striped","square","pattern","shape","3","3","2","circle","red","dotted","circle","red","dotted","circle","red","dotted","0","10","0","90","3","47"
"2H1G5TYMNCWYUXFF5XJSNX11DZLJNZ","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:44 GMT 2011","1","","600","604800","Sun Oct 23 23:49:44 GMT 2011","459","","2P3NFSVGULF3SYYW2S71LS3P0918MI","AH4NKYM7QEB1R","Approved","Mon Oct 10 18:13:34 GMT 2011","Mon Oct 10 18:15:45 GMT 2011","Mon Oct 17 11:15:45 PDT 2011","Mon Oct 17 10:13:52 PDT 2011","","","131","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0005.jpg","circle","striped","square","dotted","shape","pattern","2","1","3","square","red","dotted","circle","red","dotted","circle","red","striped","10","40","40","10","30","1"
"27JSNQQ7Q670OUWK8SI18TQCV8LAU3","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:51 GMT 2011","1","","600","604800","Sun Oct 23 23:49:51 GMT 2011","1012","","25OJ5OPB0YVGI14MSGYEV9U52Y4Y6A","A16FKMLUR307US","Approved","Wed Oct 05 15:47:35 GMT 2011","Wed Oct 05 15:48:02 GMT 2011","Wed Oct 12 15:48:02 GMT 2011","2011/10/12 16:15:59 +0000","","","27","100% (2/2)","100% (2/2)","0% (0/0)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond1-img0003.jpg","circle","green","square","blue","shape","color","3","3","3","circle","green","solid","circle","green","solid","circle","green","solid","0","80","0","20","3","3"
"2GKMIKMN9U8PSR98P1NXO3SUSTKBSI","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:44 GMT 2011","1","","600","604800","Sun Oct 23 23:49:44 GMT 2011","186","","2Y9OVR14IXKOLEF2DJ3WG6X50NG89V","AJSJ8JBCLKQG8","Approved","Wed Oct 12 21:12:32 GMT 2011","Wed Oct 12 21:13:30 GMT 2011","Wed Oct 19 14:13:30 PDT 2011","Mon Oct 17 10:13:58 PDT 2011","","","58","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond5-img0006.jpg","circle","green","square","blue","shape","color","2","1","3","square","blue","solid","circle","blue","solid","circle","green","solid","0","0","0","100","2","1"
"2C8VJ8EBDPGF4Z1CL1Q9XNDWCZU0F3","29MMOFXRDS4IVUKY9SOJLM11A89WT8","Communication game (fun, 3 minutes, do once only!)","Answer a few quick questions about a group of objects. PLEASE DO ONLY ONE ""COMMUNICATION GAME"" HIT!","psychology, language, game","$0.10","Mon Oct 03 23:49:51 GMT 2011","1","","600","604800","Sun Oct 23 23:49:51 GMT 2011","315","","2HYO33FDEY5C7P6LCWQ3ECRHN6DR07","A23UN6AG7FR194","Approved","Tue Oct 11 21:53:46 GMT 2011","Tue Oct 11 21:54:11 GMT 2011","Tue Oct 18 14:54:11 PDT 2011","Mon Oct 17 10:15:24 PDT 2011","","","25","100% (1/1)","100% (1/1)","100% (1/1)","http://langcog.stanford.edu/expts/simple_pragmatics/type4-03-Oct-2011-03-Oct-2011-cond1-img0004.jpg","dotted","square","striped","circle","pattern","shape","3","3","3","square","red","dotted","square","red","dotted","square","red","dotted","0","34","33","33","3","3"
